_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
163,162,228,St Mary of the Angels,1477 Dufferin St,former Toronto,M6H 4C7,E,Open,"{'type': 'Point', 'coordinates': (-79.44029270500947, 43.67211886390026)}"
164,163,240,St Matthew,18 Lavender Rd,York,M6N 2B5,E,Open,"{'type': 'Point', 'coordinates': (-79.46794286936925, 43.68067023456741)}"
165,164,357,St Matthias,101 Van Horne Ave,North York,M2J 2S8,E,Open,"{'type': 'Point', 'coordinates': (-79.35945563241056, 43.784890224953806)}"
166,165,379,St Maurice,45 Kingsview Blvd,Etobicoke,M9R 1T7,E,Open,"{'type': 'Point', 'coordinates': (-79.55393286806243, 43.69781275893567)}"
167,166,412,St Maximilian Kolbe,100 Fundy Bay Blvd,Scarborough,M1W 3G1,ADM,Open,"{'type': 'Point', 'coordinates': (-79.31660336666197, 43.809350538890754)}"
168,167,217,St Michael Choir Jr,66 Bond St,former Toronto,M5B 1X2,E,Open,"{'type': 'Point', 'coordinates': (-79.37807707803385, 43.65506458308782)}"
169,168,518,St Michael Choir Sr,67 Bond St,former Toronto,M5B 1X5,S,Open,"{'type': 'Point', 'coordinates': (-79.3776872580723, 43.655445742996314)}"
170,169,387,St Michael,50 George St S,former Toronto,M5A 4B2,E,Open,"{'type': 'Point', 'coordinates': (-79.36961971308634, 43.647869411503386)}"
171,170,224,St Monica,14 Broadway Ave,former Toronto,M4P 1T4,E,Open,"{'type': 'Point', 'coordinates': (-79.39762770490216, 43.71015927539939)}"
172,171,538,St Mother Teresa Catholic Academy,40 Sewell's Rd,Scarborough,M1B 3G5,S,Open,"{'type': 'Point', 'coordinates': (-79.21482976857142, 43.80965879916939)}"
173,172,308,St Nicholas,33 Amarillo Dr,Scarborough,M1J 2P7,E,Open,"{'type': 'Point', 'coordinates': (-79.23285549416369, 43.74764378986283)}"
174,173,355,St Nicholas of Bari,363 Rogers Rd,York,M6E 1R6,E,Open,"{'type': 'Point', 'coordinates': (-79.46049319915328, 43.68282437386428)}"
175,174,309,St Norbert,60 Maniza Rd,North York,M3K 1R6,E,Open,"{'type': 'Point', 'coordinates': (-79.46450003909047, 43.73410029447422)}"
176,175,283,St Paschal Baylon,15 St Paschal Crt,North York,M2M 1X6,E,Open,"{'type': 'Point', 'coordinates': (-79.43132188814826, 43.79220068994697)}"
177,176,546,St Patrick,49 Felstead Ave,former Toronto,M4J 1G3,S,Open,"{'type': 'Point', 'coordinates': (-79.32800364059493, 43.67845032202136)}"
178,177,204,St Paul,80 Sackville St,former Toronto,M5A 3E5,E,Open,"{'type': 'Point', 'coordinates': (-79.36173418745786, 43.655488940782185)}"
179,178,237,St Pius X,71 Jane St,former Toronto,M6S 3Y3,E,Open,"{'type': 'Point', 'coordinates': (-79.48471333867455, 43.65127722327242)}"
180,179,285,St Raphael,3 Gade Dr,North York,M3M 2K2,E,Open,"{'type': 'Point', 'coordinates': (-79.48848694523477, 43.72856134086625)}"
181,180,301,St Richard,960 Bellamy Rd N,Scarborough,M1H 1H1,E,Open,"{'type': 'Point', 'coordinates': (-79.2402833917461, 43.76837293765011)}"
182,181,408,St Rene Goupil,44 Port Royal Trl,Scarborough,M1V 2G8,E,Open,"{'type': 'Point', 'coordinates': (-79.28830312436712, 43.81934837054809)}"
183,182,216,St Rita,178 Edwin Ave,former Toronto,M6P 3Z9,E,Open,"{'type': 'Point', 'coordinates': (-79.45644833578548, 43.66613476638307)}"
184,183,320,St Roch,174 Duncanwoods Dr,North York,M9L 2E3,E,Open,"{'type': 'Point', 'coordinates': (-79.56674971585389, 43.75370797165922)}"
185,184,297,St Robert,70 Bainbridge Ave,North York,M3H 2K2,E,Open,"{'type': 'Point', 'coordinates': (-79.44414518365652, 43.74965753179475)}"
186,185,354,St Sebastian,717 Brock Ave,former Toronto,M6H 3P1,E,Open,"{'type': 'Point', 'coordinates': (-79.43992646814952, 43.662766150868904)}"
187,186,269,St Rose of Lima,3220 Lawrence Ave E,Scarborough,M1H 1A4,E,Open,"{'type': 'Point', 'coordinates': (-79.24055992290963, 43.757482390858115)}"
188,187,383,St Simon,24 Strathburn Blvd,North York,M9M 2K3,E,Open,"{'type': 'Point', 'coordinates': (-79.53297616607838, 43.71886209357774)}"
189,188,284,St Stephen,55 Golfdown Dr,Etobicoke,M9W 2H8,E,Open,"{'type': 'Point', 'coordinates': (-79.55444587866464, 43.721922040552776)}"
190,189,373,St Sylvester,260 Silver Springs Blvd,Scarborough,M1V 1S4,E,Open,"{'type': 'Point', 'coordinates': (-79.30224639931114, 43.805358387168866)}"
191,190,248,St Theresa Shrine,2665 Kingston Rd,Scarborough,M1M 1M2,E,Open,"{'type': 'Point', 'coordinates': (-79.24247558919448, 43.715637859931654)}"
192,191,322,St Thomas More,2300 Ellesmere Rd,Scarborough,M1G 3M7,E,Open,"{'type': 'Point', 'coordinates': (-79.22545489654375, 43.778703334508435)}"
193,192,236,St Thomas Aquinas,636 Glenholme Ave,York,M6E 3G9,E,Open,"{'type': 'Point', 'coordinates': (-79.44574378314778, 43.695889705839136)}"
194,193,298,St Timothy,25 Rochelle Cres,North York,M2J 1Y3,E,Open,"{'type': 'Point', 'coordinates': (-79.35136250724202, 43.77515316729387)}"
195,194,306,St Ursula,215 Livingston Rd,Scarborough,M1E 1L8,E,Open,"{'type': 'Point', 'coordinates': (-79.19966039974322, 43.74979221446293)}"
196,196,227,St Vincent De Paul,116 Fermanagh Ave,former Toronto,M6R 1M2,E,Open,"{'type': 'Point', 'coordinates': (-79.44792301688754, 43.64682926939328)}"
197,197,313,St Wilfrid,1685 Finch Ave W,North York,M3J 2G8,E,Open,"{'type': 'Point', 'coordinates': (-79.50255430721253, 43.75991687927495)}"
198,198,371,Stella Maris,31 Ascot Ave,former Toronto,M6E 1E6,E,Open,"{'type': 'Point', 'coordinates': (-79.4452161405946, 43.679650736298726)}"
